clean_review,sentiment
nice quilty and quitny i fully satisfied this restaurant food hygiene is superb most popular in pal arias,Positive
nice place for dal bati lovers test in best osm mouth wethring teste nice customer waking i over all given out of 5 to 5 star..,Positive
nice place for rajasthani dal bati lover super ambition and serve good quality  food i like dal bati ..,Positive
gud test of rajasthani dal bati amazing.and nice place for family quick serving quilty is better ovar all superb,Positive
please dont order this restaurant food is very bad also no service this restaurant please please do not order ,Negative
over all very good the taste of the dal bati is very delisus,Positive
good,Positive
"very tasty, desi filling",Neutral
good one . bati size is very small so ordered one extra,Positive
rude and insulting behaviourfor 8 person where 3 where children we order 2 dish of dal bati which will have 8 batis. even than the handling person demanded rudely to order 3 dish. means you are not free to oder as per your appetite bit instead you have to order as per the restaurant wish. very rude behaviour and the owner sitting on counter didn't utter a word.,Negative
taste the best,Positive
taste best,Positive
taste the best,Positive
thik thak hai...,Neutral
do not order this item... size of the bati is very very small.. one person cannot fill empty stomach. ,Positive
keep it up,Neutral
tastes like homemade food. keepit up,Positive
"mouth watering daal bati. authentic rajasthani food,highly recommend this place and best value for your money !!",Positive
"fantastic food, good test even child loves it since it wasn't much spicy. very good packing.",Positive
"amazing dal batti,, every thing ws so good sorry couldn’t click the foto as it ws so good tht our focus ws to relish food.. keep ur quality like this.. all the best for future..",Positive
quantity 1 eggs,Neutral
"fraud , zomato fraud, given water instead of kashmira water",Negative
so bad ,Negative
it was full of chilly with no taste,Negative
very good ,Positive
"maza nahi aaya no gravy , only oil and oil",Negative
received very fast delivery.,Neutral
i want refund order came after one hour,Positive
the taste was not at all upto the mark. no salt no tanginess. felt as if was eating blant hospital food. also had a lot of oil. ,Negative
good food,Positive
bilkul bhi tasty nahi tha bakwas laga,Neutral
the worst aloo puri i ever eat today.in 100gm aloo sabji there is 30 to 40gms neem leaves and mustered. just ruined my dinner today  i tell you all that never order this one ever.,Negative
"no paneer, stale rotis just warmed",Negative
daal makhni is rotten delivered ,Negative
fast delivery,Neutral
stuffing was half of what we used to receive in previous orders ,Neutral
taste less money waste ,Negative
not good your food is unhealthy chili powder very heavy ,Negative
no onion  why?,Negative
the only two points with respect to lassi....quantity slightly less and very sweet. quantity of.pickle can be reduced to half,Positive
food not so good..just like road side dhaba with huge loss..disappointed..2 star only that they have delivered on time..,Negative
curd not served with aloo parathha as mentioned,Neutral
i love bhature,Positive
puri thodek patli karo,Neutral
wastage of money ,Neutral
aam ras was very less in quantity.aloo sabji was having sour taste,Neutral
aloo sabzi is too spicy. i can't eat it,Neutral
it's totally waste of money and taste was very bad very salty paratha  as i have to throw it in dustbin  as i don't like to throw and waste food but due to bad taste very salty taste i have to do it. i wish if i could get my cash back,Negative
improve quality and packing of food,Positive
tasteless totally waste of moneyvery disappoint ,Negative
the food smells badi haven't eaten this poor food till date,Negative
3rd class quality ,Neutral
bad test,Negative
not good food,Negative
totally west of money ,Neutral
rise with dahi kaun kayega not mention even in menu,Neutral
not up to mark very bad taste.curd is also not good,Negative
very testy food,Neutral
khtta lag rha tha sbji,Negative
very bad experience,Negative
kulcha should be cook well,Positive
not the same taste as before,Neutral
at this price not worthy at all to much expensive and food was not that level,Negative
"managment are very cooperative, they did the customization as well as per our taste. excellent packing, received our food on time.",Positive
"love to visit again and again, food taste was superb, value for money, staffs are very polite and cooperative, we complete family enjoy the option for all age of people.",Positive
"not good quality, also small qty i think this cheating name of discount",Negative
please send spoon and stray on next order ,Positive
delivered very latealways promise false delivery time,Positive
sari paking galat ki hai,Neutral
bad shrveah,Negative
very very bad quality ,Negative
totally unlocked roti,Neutral
food is soo good,Positive
very good,Positive
delivered very late.,Neutral
"taste of bhagwati took almost 1 hour to prepare just 7-8 samosas? and give just a spoon of chutney for 7-8 samosa, and that too bad quality, waste of time to order from this restaurant.. please don’t order..",Negative
third class chhole bhature...after we got its looks very dangerous...my whole family not good after eating this item...,Negative
you deliver order after one hour what a nonsense thing,Negative
quantity of chole is less today,Neutral
"lemon coriander soup was outstanding. chhole bhature was okayish.  pavbhaji not up to mark even not tastes like pav bhaji, something else like vegetable paste. pizza was totally disappointing as it was packed in the box in which previously we were getting royal thali. toppings was fall down to corner and base was not baked properly. not expecting much from pizza of tob but still not expecting even this type of taste. overall very disappointed with today's order otherwise one of favorite restaurant for food ordering. ",Negative
quantity is not up ti the mark.taste is also not goodwould not suggest anyone to order,Neutral
nd i didn’t order chole kulche .,Neutral
very oil ,Neutral
very nice,Positive
little salt was more in paneer manchurian,Neutral
"no , we hate the service",Negative
i had written expressly to provide cutlery ie spoon n tissue bt they dint provide. also packaging of chole was v good but of bhature was not proper. poor packaging of bhature. no spoon or tissue provided.,Positive
quality of the food is not to eat..,Neutral
kindly refund the money as it was not consumed at all.,Positive
too delicious ,Positive
oily food &amp; not packed well.,Negative
bilkul bhi cheese nhi he muje refund doo i hate this naan money to cheese naan ka liya,Negative
wrong item was sent,Negative
noodles were not in authentic taste,Neutral
very bad quality and absolutely no quantity,Negative
not good taste,Negative
awesome delicious taste of hyderabadi paneer tikka &amp; thai curry &amp; rice,Positive
food was good but butter tandoori roti wasn’t upto the mark,Positive
kachi roti order plz don't order ever tym,Positive
packaging can be better,Positive
i ordered 2 plate panipuri 20 piece but received 12 puri,Neutral
excellent service and exceelent food.when ever i visit surat from mumbai this is a must visit place since last 9 years place....one of the best and no.1 shop and so aee the owners and staff..must visit place...,Positive
butter ,Neutral
the best in surat!,Positive
please pack properly,Positive
yes,Positive
the rabri was stale and spoilt. avoid selling items if not fresh rather than taking orders for spoilt sweets.,Positive
worst waste of money it's so hard,Negative
not qulity good,Negative
quantity is much lesser compare to price,Neutral
please pack proper chatnies and all.,Positive
packing is bad quality,Negative
wrost delivery,Neutral
they did not send canadian and choclate matho. this time order was very disappointing.,Negative
no taste of sutarfeni. ,Negative
thank you ,Positive
relatives have came to our house and we order online to feed them and they eat those things,Neutral
average.,Neutral
awesome taste,Positive
required spoon ,Neutral
no ,Negative
not good,Negative
rasgulla are stinking,Negative
matho only 1 received instead of 2,Neutral
good,Positive
it's a fraud in buying dryfruit box only 200gms dryfruit at 500rs totally cheating pls replace it,Negative
must try,Neutral
very good service thankful to you,Positive
good service by delivery person,Positive
i ordered milk cake for ganeshji before 2 days. it was smelling so bad. do u guys check the reviews that are given by the customer. disgusting customer service. very bad food sell fresh sweets else close your shop.,Negative
not good sweets,Negative
bekar item this is bad,Negative
it's not fresh ,Negative
be care full,Positive
contiti kam aati he,Neutral
maysor sabji was pathetic. sambhar was chilled,Negative
oil they use not upto mark feeling they use msg in this food no naturla food,Negative
100 star give,Neutral
taste is very bad and salt is very less,Negative
no taste ,Negative
had high expectations but it was really horrible experience ,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
issue with delivery person. he was not able to use gps. and haressed us unnecessarily. he was not even in zomato uniform.,Neutral
no salad,Negative
good ,Positive
test good bt quantity not good,Positive
nice but daal taste ,Positive
"taste was ok but packing was not good, didn't open easily ",Negative
we have ask khadi teekha but he had send sweet khaddi,Positive
good,Positive
ek dam 3rd class rise and daal quality bhi gatiya,Neutral
good,Positive
good ,Positive
bati patthar jaisi thi...,Neutral
fine,Positive
no test ful.. very bed item....,Negative
very good packaging &amp; taste mast butter kaddi,Positive
na,Neutral
good test,Positive
packing is very poorpls dal pack in plastic container or heavy grad pop bag.maintain hygin ,Neutral
so sweet,Positive
dal bati came but without ghee ...,Neutral
very spicy..noodles amount are very less...cabbage amount was very highshimla mirch amount also high..overall taste was not of noodles,Neutral
v.good,Neutral
i mentioned thin crust pizza. i received normal pizzas. zomato also didnt give any options to opt for thin crust pizza.,Neutral
taste was good but price is too high ,Positive
very good ,Positive
box was open,Neutral
amazing experience of pizza. was randomly suffering on zomato and came through this wheels &amp; pieces. too good,Positive
overall taste was very good. garlic bread was too okayish,Positive
good,Positive
spoon ka bola tha call karke fir bhi nahi aaya thard claas sirvis ,Neutral
bahu ochhi qunteti ave cheonly 8 goli ane pisa apiya 155 1 full manchurian odar apiyo hatoaviyu half ,Neutral
good nd fast delivery,Positive
i ordered full and get me half...very bad,Negative
"quantity was very much less ,you must mention this in your order",Neutral
after asking him to put spoon then also not providing they does have the custrom service,Neutral
good ,Positive
in my zomato app it's showing free delivery for today but you have charged shipping cost as well,Positive
very very bad taste never gonna order again ,Negative
sambhar not look like sambhar. it's like burnt hot and sour soup.mendu vada olily and taste like burnt.only masala dhosa have average taste.,Negative
osm ,Neutral
very bad test.........,Negative
bakwas food,Neutral
it's slow in service and waste in money ,Negative
"test the taste was very good, like a dam home, thank you mummy dosa ",Positive
bad,Negative
i need my money back for this order ,Neutral
stale food served. sambhar was stale,Neutral
good,Positive
it was very tasty but took too much time ,Neutral
worst,Negative
quantity was enough. not more or less. i was expecting little more but it's fine.,Positive
it was not too good ,Negative
very poor . tasteless it was .. one dosa was burnt. ,Negative
chutney and sambhar not delivered ,Neutral
chutni and sambhar testless..mysor masala like pavbhaji masala,Positive
nice,Positive
very good  ,Positive
order was delayed like almost 1.5 hoursand behaviour of resturant was not at all good,Negative
"found a piece of chicken, this ridiculed me as i really feel cheated.never going to order from this restaurant.wasted ",Negative
quantity delivered is not at all acceptable for the price charged ,Negative
always late.more than 2 hours,Neutral
lunch not hot and good ,Negative
good taste and value for money,Positive
stale food roti,Neutral
ek number,Positive
very very low quantity not worth it,Negative
"chicken mughlai was so tasty, pieces was completed soft, keep it up ",Neutral
good ,Positive
good ,Positive
good ,Positive
little bit costly for what its offers ,Negative
tooo goood. ..test and quality ,Neutral
very bad taste of chhole,Negative
the packing was not good the oil was leaking,Negative
i will never order again …. it was horrible experience for me and my people .roti was cold - freezing order was late .and what i ordered ididnt get !the restaurant is a cheat !!,Negative
too much delay more than 25 min,Negative
quantity is very less as compared to price ,Neutral
"stale food, worst experience",Negative
there is no home cooked paratha with this meal as written in the menu,Negative
wrong delivered...i ordered bread kulcha...they delivered chapati,Negative
it’s such a mood spoiler when you are tired and hungry post a hectic day and what you do is post this and not eat food!,Negative
not so much good ,Negative
last time i ordered same order and the quantity was much more than this portion size. ,Neutral
no any test is available in this ,Negative
chapati tasteless ,Neutral
delicious ,Positive
third class service not maintain proper test and proper quality also quantity last few days to we are facing the,Neutral
"very very very bad  partha kachha or jala huaa aisa lga dekh kar hi ki oil me aata duba ke diya or prize 60uff galti se bhi online me partha nhi mangwaunga kabhi free me denge tab bhi nhi ufff mood off pura ka pura paisa barbad sit , plz one request this mangement every online order chek then confrom order otherwise no confrom repped meking then give iam not a only costumer i restorent maneger ",Positive
very hard and tasteless,Negative
it's alright if you don't add the mayo dip in a separate plastic container and just put it barely alongside the potato shots.,Positive
extra pair of rotis was not given that i ordered.,Neutral
good taste ,Positive
very bad,Negative
no curd provided…..this is happening 2 nd timer,Negative
the taste and packaging was good but the quantity was on the lower side for single person,Negative
"very bad in taste, complete loss of money ",Negative
restaurant take a lot time to deliver a order.,Neutral
rong order send me and khana pura kharab tha,Neutral
very poor service of lunch box. i got my lunch 30 minutes late. very disappointed ,Negative
the crust was sooo hard and the cheesecake was flat. should be much much better at these high prices. so disappointed ,Negative
worst case waste of money very bed taste not giving fresh cake fraud people old cake very bed experience don’t order them,Negative
very bad tastewaste of money,Negative
delivery boy said he will take 1 hour to deliver the order n was standing somewhere without reason,Neutral
fraud... mera order cancel kar diya or payment  nai aya.... pls dont take order,Negative
"i have added in the instructions that please write ""happy anniversary mummy pappa"" ..you haven't mention that",Positive
"please ensure that always you server this red velvet chill like today, it taste best when served chilled.",Positive
brownie was melted.... and not massage tag was received....and gift packaging also not available....,Positive
speedy delivery,Neutral
"very late delivery for simple pastry order. it  is completely restaurant fault. horrible experience and pastries were not soft, they were too icy. hats off to delivery partner as he had waited 1 hour to collect readymade pastries (only two) from restaurant.",Negative
merko gift card nahi mila,Positive
so hard,Negative
amazing packaging and great taste. love everything about it. thanks.,Positive
taste was awesome,Positive
looked like it was baked 3 days ago. the message was also written extremely poorly ,Positive
is this the way you suppose to pack?? really pathetic,Negative
i can feel the tiny ice particles in the cream which makes me think this cake was probably not freshly made and was frozen. :/ it wasn't this way the first time i had it. i'm not sure if i'll order again. ,Negative
it was hard like rock. the pastry was not good at all. ,Negative
ordered combo of cheesecake and pastry and got 2 pastries ,Neutral
american cheez cake was not that good and it was broken from front end when i had opened the box.also charges are higher compare to size of each pastry and taste.,Negative
became cold,Neutral
worst taste ever,Negative
superb taste,Positive
the packaging is very bad and ferrero rocher is also taste bad,Negative
"very less vanilla, less dark chocolate, not proper package.. after box opened, chocolate was here and there, messy..... and it is not even a similar to the picture which they had showed.",Neutral
all nice,Positive
all food very very good ,Positive
the test of very nice ,Positive
nice,Positive
"few manchuriyan was not cooked properly few were as it is, noodle it was good but not as per expected and special veg. cheese pulao it was like eating fried rice also rice was steamed well don't know what was special in it. ",Positive
i asked in instructions that please don't add garlic even though daal is full of garlic. just check above photos.this is very ridiculous.,Negative
khas test nhi tha,Neutral
best manchurian in this price range ,Positive
good,Positive
good ,Positive
noodles taste not proper,Neutral
dal bati best but maysur masala not,Positive
it is not crunchy.. ,Neutral
no cheese i want my refund... this is horrible experience ... i paid for veg cheese toast sandwich n they send me this,Negative
worst sabdwich ever,Negative
very bad food  money wast ,Negative
pieces are very small. i don’t recommend.,Positive
late delivery,Neutral
overall bad experience need refund plz,Negative
very very very late delivered ,Neutral
i have eaten biscuit pie from different restaurant this was the worst till now. never had such a bad biscuit pie,Negative
the food was very badly cooked. the chips were soggy and like there just 5the chesse chilli toast had no chilly or cheese,Negative
worst,Negative
good ,Positive
even after informing. side items not sent according to instruction.,Neutral
food quality is soo bad. ,Negative
i just realised i never recieve coco,Neutral
after complain restaurant was not attending call,Negative
never never going to order any food or snacks from greenees quality wise horrible . taste wise horrible and packing wise horrible . i don't understand how zomato started losing credit by merchandise such clients .,Negative
everytime the same instructions are given but they don’t follow it,Neutral
green chutney not enough quantity in proportion to the quantity of the idli ordered.,Neutral
2 scoops of icecream were missing. restaurant says it is given to the rider and rider says it isn't given by the restaurant. ,Negative
the delivery was very good and the delivery man was very polite and humble and kind person his help would be appreciated ,Positive
ver bad service,Negative
"poor delivery , the ice cream is all spoilt n spilled",Negative
literally the best boba i’ve had! thank you so much!!!,Positive
dr. bubbles always gives the expected tast ...it is always my favorite.,Positive
too sweet.. cant drink,Neutral
dr. bubbles is my all time favorite...,Neutral
change taste,Neutral
i like him,Positive
very poor ,Negative
osma test best peking fast delivery tandoori best itme best combo best offer and disconnect best test,Positive
it was so dry .not as per original shushi,Negative
sushi was not vegetarian it was nonveg,Neutral
first of all. all those who are saying the taste is shit. i will say you guys don’t know what food should be of what taste. ramen was good and was made as per the specifications which we asked for. super taste and black ramen was the best of all. haven’t tasted anything like that in surat till now. banana brownies is something you can’t deny here! must visit! sushi was good too. perfectly made with cheese and everything! overall very good experience!! ,Positive
they sent me chopsticks but no spoon or tissue ,Negative
today's order totally ruined the mood and feels like waste of lot of money. ,Negative
very bad taste ,Negative
very bad taste .,Negative
its not a korean fried rice it's said made with kimchi but it doesn't have a kimchi and doesn't look like what i show in a pic and taste sour very bad expiriance. ,Negative
the container was leaking,Neutral
taste was not gud,Neutral
"i just want to say that ""best frankie in the area"". i want to say that frankie is the best in town but i haven't tasted them all so i'll say that the best frankie in town. go there and visit. ordering online is not recommended as this is the item you like to eat hot. i have been going there since they used to sell mini stall.",Positive
on time very good,Positive
good delivery boy,Positive
too cold,Neutral
no testy,Negative
nice food,Positive
nice service,Positive
very very very tasty in taste......i just amazing just try their tandoori mayo pav you will definitely loved it.....,Positive
not good quality only cobige and onion inside i not odering next time .,Negative
very bed,Neutral
definitely not ordering again,Positive
not satisfied as because no cheese in maggie no extra chill flakes origano,Negative
good test,Positive
itna ganda vada pav mene pehle kabhi nai khaya.burger ke bread me vada pav de diya or iise bakvas taste puri dunya me kahi nahi hoga.,Neutral
"the restaurant took too much time to prepare the food. when i received my order, the quantity of the items was very less &amp; the price of the items was very high (like a 5 star restaurant). the taste of the items was average not up to the mark.i will not recommend it to anyone for ordering food from this restaurant because it's very expensive foods &amp; quantity and taste of the foods are bad.",Negative
i ordered cheese maggie and they send me simple maggi and i jave paid for cheese maggie ,Neutral
bekar vadapav mirchi b nahi dete,Neutral
taste quality quantity everything worst never order again ,Negative
even not able to consume it because of very third class packing.. tea should be hot... please deliver the things if you can handle it....,Positive
fsat dilvre nice ,Positive
it's the worst place i ordered food from &amp; i paid 350rs &amp; it's a complete waste. the taste is also pathetic.,Negative
"worst packaging , worst taste n quality",Negative
quantity is too less. salt &amp; paper not proper.,Neutral
not elaichi ,Neutral
very good taste of chesse grill sandwich very different recipe blue curraco mojito was awsomeall waffles are very bestpaneer tikka pizza is awsome cold coffee ice cream is their fresh and live coffee makingmasala chai is top of the world,Positive
cool,Positive
its not a grill sandwich... its a normal toast sandwich ,Neutral
delivery boy bad behaviour  i sand you call recording ,Negative
some veggies should include jst bcz it's bugger ,Neutral
not test full par dilevrey boy nice,Positive
nice &amp; delisios but packing not good,Negative
a little expensive according to size &amp; quantity,Neutral
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
make pizza large,Neutral
"delevery has super fast, but pizza has not cheesy i give numbers on this order test is 100 out of 80 , all over nice delevery customer is happy ",Positive
it is cheesy and good in taste,Positive
please zomato location update karo,Positive
my all time favorite ,Positive
superb preparetion... n owner is supportive... as per instruction they have given... i think this the best ... at least once try food ,Positive
less salt,Neutral
east or west level 1 best,Positive
fried rice was awesome it can be tasted again   ,Positive
superb,Positive
very poor packing.the soup is coldthis is pathetic ,Negative
osm,Neutral
zero stars nathi avta baki te apu  khavama vegetable ma thi smell ave che zero star ,Neutral
this is actually don't acceptable. i am not happy with this packing. it's disgusting.,Negative
so tasty it was amazing taste. we liked it ,Positive
very good ,Positive
pathetic taste of chutney,Negative
nice,Positive
chutney is very bad ,Negative
good,Positive
taste less and stale food,Neutral
price ke hisaab jesa hona chahiye vesa nahi he delivery bhi late dono ko improve kariye,Positive
best sarvice,Positive
bad packaging with spilling issue,Negative
ordered fruit salad but got fruit custard instead.,Neutral
not add in ice cream,Neutral
there was no malai and ice cream in falooda just a milkshake,Negative
i ordered a falooda but a got a soup.i.d request please do read my comment and go ahead with your order..plus the packaging was horrible.,Negative
glas not 3000 ml . cut to af glas 2. ..............,Positive
"even gps not working properly, he is able to deliver package on time.",Neutral
i don't know which dish but i fell sick after eating. intense stomach pain. ,Negative
over priced.,Neutral
i told to give small bread for my daughter but didn’t provide....,Neutral
exllant,Neutral
"i was mentioned din remarks to send chilly flakes, still if they didn’t send a single pack.",Neutral
ghar pe late pohcha iske liye cancel my order,Negative
lovely lovely food the cheesecake was just amazing the quality and quantity with the price is great packaging on point ,Positive
bekar food,Neutral
did not reach in time and unprofessional approach. ,Negative
"guys there were no mughlayi taste ,it was all corn and pepper lasagne , but i love to eat at yours so i m happy anyways. ovenstory garlic is no go for me, tried first time. thank you for lava brownie it was amazin.. keep rocking no foolin around please. ",Positive
great service,Positive
overall good experience but the pickles taste is not going with muglai and mac and cheese,Positive
"guys according to my taste olive doesn't go with mughlai  gravy well and too much pickeled jalepano making all dishes too much sour.. it kills a taste.. ovarall mughlai mac n cheese was hit, loved it. enjoyed it. thank you. ",Positive
"very budget-friendly and creamy. the food delivery was very late, because of rush on festive days, but the food was amazing, and so much cheesy. definitely recommendable!",Positive
"amritsari paneer tikka lasagna was pretty good with satisfactory portion size (given that lasagnas are heavy cuisine) and was a bit spicy. chocolate crusted cheesecake was also good, but could have been better (it lacked that particular cream cheese texture/flavour). all in all, the taste was good.",Positive
quantity was too less for the price....taste was awesome ,Positive
"it was fine no such complaints, a little less for two though",Negative
ordered paneer tikka lasagna and got corn capsicum lasagna and literally no sign of paneer. ridiculous.,Negative
super ,Positive
me 5 yrs se vadapav kha raha hu raju chacha ke bhot tasty h,Neutral
vada is missing from vada pav,Negative
amazing ,Positive
very bad,Negative
very costly. zomato charges are very high,Negative
good service,Positive
next time send some tissue,Neutral
good,Positive
testy,Neutral
i ordered 4 vada pav n i got only 3,Neutral
good,Positive
no instructions followed,Negative
"tooo much garlic.. name supposed to be garlic vada pav. another thing they give packaging in thin paper all in one wrapped. that wrapped packet was in plastic bag. must change packaging, it is human eatable food, restaurant must respect.",Positive
love  it,Positive
mast vadapav hata,Neutral
goog,Neutral
"extreme  mirchi , you can't eat only chillies",Neutral
ok,Positive
mayo bhot kam tha or butter to tha hi nhi..........,Neutral
price too much for one vadapav......................35₹ for normal vadapav,Neutral
there is no butter. i paid 1 butter vada paw for 35rs.,Negative
"packing is not  properly and good,  please use big khakhi paper for mirchi packing . ",Negative
it's very spicy really bad experience about this order,Negative
3 pav main chatni nahi lagayi thi. decent taste fresh pav and decent vada also,Positive
very tasty vada pav with lots of complementary mirchi bhajiya..,Neutral
delivery person was very rude.need to have personal hygiene.,Neutral
"i asked them to send kaju, ice cream and ice separately but no instructions were followed. great job.",Positive
pani tha pani,Neutral
nice ,Positive
too much butter or oil used for preparation and the sambar was too oily. ,Neutral
the foods are very tasty and well prepared and you can chose among many menu options. i love the service at the place and the chef is so friendly with the guests and always takes care to offer the best quality! i highly recommend this place.,Positive
it was supposed to be brown or atleast chocolaty ,Neutral
he is very humble ,Neutral
refund please.. it's not at all a thick shake,Negative
i have received wrong oder and no one is even reposnsinb proper,Negative
"i didn't get toppings(choco chips) added to the thick shake, please review the order before delivery. disappointed...",Positive
tast 3rd class,Neutral
third class waffle,Neutral
delivery came so late,Neutral
need to improve the quality of butterscotch milkshake and quantity too as it was filled only half the package ,Positive
not for tge taste it was ok ok. but 1 for packaging.. as resturant iz taking packing chsrges but the packing was not sealed. its very easy to take a sip nd close the lid.  how to ensure if someone taken a sip? and also my glass was to fully filled nd deliver also delayed. ,Positive
"my order was picked up but when the delivery guy reached the my place he didn’t have my order, and making excuses and requesting me to cancel my order.(even after waiting for over 30min) didn’t expect such blunder from zomato!! •!!and how could the restaurant not conform the delivery person!!•",Negative
not a thick shake it was a milk shake and it wasnt even cold..bad,Positive
not satisfied completely watery it's not thick shake ....it's just juice ,Negative
"must try, delicious thick shakes and waffles.you must definitely try this place once and the real fruit thick shakes are amazing...",Positive
this spot gives extraordinary service and yummy meals. one of my favourite restaurants around town. the meals served rapidly and the rates were reasonable. highly recommended.,Positive
too overpriced.. very small quantity ,Neutral
obvious compensation needed for the mess created. ,Negative
the size of cheesecake was very small,Neutral
love,Positive
"the size of brownie is very small for its price, i expected to be atleast medium sized but its not worth the money, i will like to buy again only if the size is a bit bigger than what it is now, thanks",Positive
sadi hui brownie,Neutral
not fresh,Negative
350 me pencake,Neutral
lovee the taste! but a little unhappy with the portion size. ,Negative
"visited the new branch a couple of weeks back and oh blue vanilla never fails to disappoint! from serving the best desserts, they are now serving best savoury and coffee! i have ordered multiple times from this place and never ever had a bad experience! its a must must must go in surat",Positive
taste is different nd not fresh,Negative
"loved the cheesecake, eclairs, brownies &amp; macaroons here. quite fresh &amp; gooey. something that you should try for sure! ",Positive
ok,Positive
awesome taste and wonderful packaging .loved it do much ,Positive
the quantity was 20% less than promised.,Positive
the packing was amazing ,Positive
"i have ordered a eggless cheese cake  for my friends birthday on a very short notice, and they really made it out for me . cake you simply delicious  . received the cake as expected. thank you so much bv. i have found the my cake place know so will keep ordering from you. thank you again and all the best ",Positive
excellent french desserts in town. biscoff eclair is the best. wish they add more french desserts like entremets. ,Positive
please refund me the money for this order,Positive
delicious cheesecakes and macroons! happily  recommended to my family and friends. best desserts ever!,Positive
"packaging, food, everything is soo goood. macaroons are really good. even the biscoff eclair is great!",Positive
the brownies were hard and smaller then the previous order. i suggest the restaurant to work on there quality and portion size both. it was disappointing,Negative
please keep up the excellent quality of your food always.both items were very fresh and delectable.,Positive
"visited the outlet on a sunday, loved the ambience and product range! the taste was way beyond my expectations, fresh and delicious. the staff is very helpful and courteous too",Positive
"my blueberry cheesecake slice was not in the best state when it reached, with the blueberry compote all over the packaging on top instead of on the cake. the taste too was not great, and the cake had a powdery texture, but the compote is nice. i have loved all my custom orders from blue vanilla, but i will probably not be ordering the ready-made baked goods from the studio anymore.",Positive
"macarons were very sweet. apart from coffee flavour, the sweetness of inner filling doesn't compliment the overall taste. apart from that, it was delicious.",Positive
a french patisserie in surat thought it will be bit risky to order but it was worth the risk classic cheese cake and tiramisu choux was definitely really worth ordering once ,Positive
"it was not worth the money spent. taste was average, and even the cake was not fresh. too expensive for the quantity, quality &amp; taste that their cheese cakes offer",Negative
